Scientific_Name	Common_Name
Leptodactylus validus	
Leptodactylus vastus	
Leptoderma lubricum	
Leptoderma macrophthalmum	
Leptoderma retropinna	
Leptodoras acipenserinus	
Leptodoras cf. copei	
Leptodoras cf. praelongus	
Leptodoras hasemani	
Leptodoras juruensis	
Leptodoras linnelli	
Leptodoras praelongus	
Leptojulis cyanopleura	
Leptojulis lambdastigma	
Leptolalax fuliginosus	
Leptolalax hamidi	
Leptolalax kecil	
Leptolalax marmoratus	
Leptolalax melanoleucus	
Leptolalax solus	
Leptostomias multifilis	
Lepturichthys dolichopterus	
Lepturichthys fimbriata	
Lepus brachyurus	
Lepus tolai	
Lerista aericeps	
Lerista allanae	
Lerista allochira	
Lerista ameles	
Lerista apoda	
Lerista arenicola	
Lerista axillaris	
Lerista baynesi	
Lerista bipes	
Lerista borealis	
Lerista bougainvillii	
Lerista carpentariae	
Lerista chordae	
Lerista christinae	
Lerista cinerea	
Lerista colliveri	
Lerista connivens	
Lerista distinguenda	
Lerista dorsalis	
Lerista edwardsae	
Lerista elegans	
Lerista elongata	
Lerista emmotti	
Lerista eupoda	
Lerista flammicauda	
Lerista fragilis	
Lerista frosti	
Lerista gascoynensis	
Lerista gerrardii	
Lerista greeri	
Lerista griffini	
Lerista haroldi	
Lerista hobsoni	
Lerista humphriesi	
Lerista ingrami	
Lerista ips	
Lerista kalumburu	
Lerista karlschmidti	
Lerista kendricki	
Lerista kennedyensis	
Lerista labialis	
Lerista lineata	
Lerista lineopunctulata	
Lerista macropisthopus	
Lerista microtis	
Lerista muelleri	
Lerista neander	
Lerista nichollsi	
Lerista onsloviana	
Lerista orientalis	
Lerista petersoni	
Lerista picturata	
Lerista planiventralis	
Lerista praepedita	
Lerista punctatovittata	
Lerista robusta	
Lerista rochfordensis	
Lerista simillima	
Lerista speciosa	
Lerista stictopleura	
Lerista storri	
Lerista stylis	
Lerista taeniata	
Lerista terdigitata	
Lerista tridactyla	
Lerista uniduo	
Lerista vanderduysi	
Lerista varia	
Lerista vermicularis	
Lerista viduata	
Lerista vittata	
Lerista walkeri	
Lerista wilkinsi	
Lerista xanthura	
Lerista yuna	
Lerista zietzi	
Lerista zonulata	
Lestidiops jayakari	
Lestidiops sphyraenopsis	
Lestidium prolixum	
Lestrolepis intermedia	
Lethotremus awae	
Lethrinops lethrinus	
Lethrinus amboinensis	
Leuciscus oxyrrhis	
Leucopsar rothschildi	
Leucopsarion petersii	
Leucopternis kuhli	
Leucopternis lacernulatus	
Leucopternis melanops	
Leucopternis polionotus	
Leucopternis semiplumbeus	
Leucostethus bilsa	
Leucostethus brachistriatus	
Leucostethus jota	
Leucosticte arctoa	
Leucosticte brandti	
Lichmera alboauricularis	
Lichmera indistincta	
Limatulichthys griseus	
Limatulichthys punctatus	
Limbochromis robertsi	
Limicola falcinellus	
Limnodromus scolopaceus	
Limnodynastes depressus	
Limnodynastes dumerilii	
Limnodynastes lignarius	
Limnodynastes ornatus	
Limnodynastes peronii	
Limnonectes hikidai	
Limnonectes jarujini	
Limnonectes kadarsani	
Limnonectes taylori	
Limnothrissa miodon	
Limosa fedoa	
Limosa haemastica	
Liniparhomaloptera qiongzhongensis	
Linophryne bicornis	
Linophryne brevibarbata	
Linophryne densiramus	
Linophryne macrodon	
Liobagrus andersoni	
Liobagrus anguillicauda	
Liobagrus hyeongsanensis	
Liobagrus marginatoides	
Liobagrus marginatus	
Liobagrus nigricauda	
Liobagrus obesus	
Liobagrus reinii	
Liobagrus somjinensis	
Liobagrus styani	
Liocichla omeiensis	
Liolaemus scapularis	
Lionycteris spurrelli	
Liopropoma aragai	
Liopropoma erythraeum	
Liopropoma japonicum	
Liopropoma lunulatum	
Liopropoma maculatum	
Liopropoma tonstrinum	
Lioscincus steindachneri	
Liosomadoras morrowi	
Liparis agassizii	
Liparis cyclopus	
Liparis ochotensis	
Liparis punctulatus	
Lipocheilus carnolabrum	
Lithobates warszewitschii	
Lithodoras dorsalis	
Lithoxus lithoides	
Lithoxus pallidimaculatus	
Lithoxus planquettei	
Litoria daviesae	
Litoria jungguy	
Litoria kumae	
Litoria majikthise	
Litoria pronimia	
Litoria spartacus	
Litoria verreauxii	
Litoria wilcoxii	
Lobianchia gemellarii	
Lobocheilos bo	
Lobocheilos melanotaenia	
Locustella pleskei	
Lonchophylla handleyi	
Lonchura nigerrima	
Lophiobagrus aquilus	
Lophiobagrus brevispinis	
Lophiodes miacanthus	
Lophiogobius ocellicauda	
Lophius litulon	
Lophodytes cucullatus	
Lopholaimus antarcticus	
Lopholiparis flerxi	
Lophophanes dichrous	
Lophophorus impejanus	
Lophotis ruficrista	
Lophura inornata	
Lophura leucomelanos	
Lophura swinhoii	
Loricaria apeltogaster	
Loricaria cataphracta	
Loricaria clavipinna	
Loricaria nickeriensis	
Loricaria parnahybae	
Loricaria simillima	
Loricaria tucumanensis	
Loricariichthys castaneus	
Loricariichthys derbyi	
Loricariichthys labialis	
Loricariichthys maculatus	
Loricariichthys melanocheilus	
Loricariichthys microdon	
Loricariichthys platymetopon	
Lorius chlorocercus	
Lotella phycis	
Lotella tosaensis	
Loweina terminata	
Loxia curvirostra	
Loxia leucoptera	
Loxia pytyopsittacus	
Loxia scotica	
Loxops caeruleirostris	
Lucigadus nigromarginatus	
Luciobarbus sclateri	
Luciocyprinus striolatus	
Luciogobius ama	
Luciogobius elongatus	
Luciogobius fonticola	
Luciogobius grandis	
Luciogobius koma	
Luciogobius martellii	
Luciogobius pallidus	
Luciogobius parvulus	
Luciogobius platycephalus	
Luciogobius ryukyuensis	
Luciogobius saikaiensis	
Luciopimelodus pati	
Luciosoma bleekeri	
Luciosoma setigerum	
Luetkenotyphlus brasiliensis	
Luscinia svecica	
Lutjanus decussatus	
Lutjanus rufolineatus	
Luxilus cerasinus	
Luzonichthys waitei	
Lycenchelys albomaculata	
Lycenchelys aurantiaca	
Lycenchelys hippopotamus	
Lycenchelys melanostomias	
Lycenchelys rassi	
Lycenchelys remissaria	
Lycenchelys squamosa	
Lycenchelys tohokuensis	
Lyciasalamandra atifi	
Lyciasalamandra flavimembris	
Lycodapus parviceps	
Lycodes caudimaculatus	
Lycodes fasciatus	
Lycodes hubbsi	
Lycodes japonicus	
Lycodes nakamurae	
Lycodes ocellatus	
Lycodes pectoralis	
Lycodes sadoensis	
Lycodes sigmatoides	
Lycodes soldatovi	
Lycodes tanakae	
Lycodes teraoi	
Lycodes uschakovi	
Lycodes ygreknotatus	
Lycozoarces regani	
Lygisaurus novaeguineae	
Lynchius oblitus	
Lynchius tabaconas	
Lysapsus bolivianus	
Lythrichthys cypho	
Lythrichthys eulabes	
Mabuya ficta	
Macaca brunnescens	
Macaca leucogenys	
Macaca nigrescens	
Macaca togeanus	
Maccullochella macquariensis	
Machaerirhynchus nigripectus	
Macrocephalon maleo	
Macrocephenchelys brachialis	
Macrocephenchelys soela	
Macroglossus sobrinus	
Macronectes giganteus	
Macrophyllum macrophyllum	
Macropodus erythropterus	
Macropodus hongkongensis	
Macropodus ocellatus	
Macropygia amboinensis	
Macroramphosus sagifue	
Madascincus nanus	
Malacocephalus nipponensis	
Malacochersus tornieri	
Malacocottus gibber	
Malakichthys barbatus	
Malakichthys elegans	
Malakichthys griseus	
Malapterurus tanganyikaensis	
Malapterus reticulatus	
Malthopsis annulifera	
Malthopsis jordani	
Malthopsis kobayashii	
Manacus manacus	
Manciola guaporicola	
Mangarinus waterousi	
Mannophryne cordilleriana	
Mannophryne leonardoi	
Mannophryne venezuelensis	
Manorina flavigula	
Manorina melanophrys	
Manouria emys	
Manouria impressa	
Mantella aurantiaca	
Mantella baroni	
Mantella betsileo	
Mantella nigricans	
Marcusenius senegalensis	
Marcusenius stanleyanus	
Margrethia obtusirostra	
Marisora aquilonaria	
Marisora lineola	
Marisora roatanae	
Marisora syntoma	
Marisora urtica	
Markiana nigripinnis	
Marmorosphax tricolor	
Marmosops pinheiroi	
Marukawichthys ambulator	
Mastacembelus albomaculatus	
Mastacembelus apectoralis	
Mastacembelus cunningtoni	
Mastacembelus ellipsifer	
Mastacembelus flavidus	
Mastacembelus mastacembelus	
Mastacembelus micropectus	
Mastacembelus moorii	
Mastacembelus ophidium	
Mastacembelus plagiostomus	
Mastacembelus platysoma	
Mastacembelus tanganicae	
Mastacembelus undulatus	
Mastacembelus zebratus	
Mastigopterus imperator	
Matsubaraea fusiforme	
Mauremys caspica	
Mauremys rivulata	
Mazama nemorivaga	
Medialuna californiensis	
Megachasma pelagios	
Megaladapis edwardsi	
Megalapteryx benhami	
Megalechis thoracata	
Megaleporinus elongatus	
Megaleporinus muyscorum	
Megaleporinus obtusidens	
Megaleporinus piavussu	
Megalobrama pellegrini	
Megalobrama skolkovii	
Megalocottus platycephalus	
Megalodoras uranoscopus	
Megaloglossus azagnyi	
Megalonema amaxanthum	
Megalonema platanum	
Megalonema platycephalum	
Megapodius eremita	
Megapodius layardi	
Megapodius reinwardt	
Megatherium americanum	
Megophrys acuta	
Megophrys binglingensis	
Megophrys caudoprocta	
Megophrys cheni	
Megophrys gigantica	
Megophrys glandulosa	
Megophrys jinggangensis	
Megophrys major	
Megophrys medogensis	
Megophrys obesa	
Megophrys ombrophila	
Megophrys pachyproctus	
Megophrys popei	
Megophrys sangzhiensis	
Megophrys tuberogranulata	
Megophrys wawuensis	
Megophrys wuliangshanensis	
Megophrys wushanensis	
Meiacanthus ditrema	
Meiacanthus kamoharai	
Melamphaes microps	
Melamprosops phaeosoma	
Melanerpes carolinus	
Melanitta deglandi	
Melanocharis arfakiana	
Melanocharis longicauda	
Melanochelys trijuga	
Melanocorypha mongolica	
Melanoperdix niger	
Melanophryniscus alipioi	
Melanophryniscus klappenbachi	
Melanophryniscus milanoi	
Melanophryniscus moreirae	
Melanophryniscus rubriventris	
Melanophryniscus simplex	
Melanophryniscus stelzneri	
Melanostigma atlanticum	
Melanostomias biseriatus	
Melanostomias melanops	
Melanostomias tentaculatus	
Melidectes ochromelas	
Melidectes torquatus	
Meliphaga albonotata	
Meliphaga lewinii	
Melipotes fumigatus	
Melithreptus albogularis	
Melithreptus brevirostris	
Melonycteris fardoulisi	
Melophus lathami	
Mendosoma lineatum	
Mene maculata	
Merganetta armata	
Mergus serrator	
Mertensiella caucasica	
Mertensophryne taitana	
Mesembrinibis cayennensis	
Mesoborus crocodilus	
Mesocapromys nanus	
Mesomys occultus	
Mesonauta festivus	
Mesonoemacheilus guentheri	
Mesonoemacheilus triangularis	
Mesophylla macconnelli	
Mesopristes iravi	
Mesoscincus schwartzei	
Metahomaloptera omeiensis	
Metaloricaria nijsseni	
Metaloricaria paucidens	
Metavelifer multiradiatus	
Metynnis hypsauchen	
Metynnis lippincottianus	
Metynnis melanogrammus	
Meuschenia trachylepis	
Micralestes acutidens	
Micralestes humilis	
Micralestes stormsi	
Micrastur gilvicollis	
Micrathene whitneyi	
Microcavia australis	
Microcebus bongolavensis	
Microcebus danfossi	
Microcebus griseorufus	
Microcebus myoxinus	
Microcebus ravelobensis	
Microcebus sambiranensis	
Microcebus tavaratra	
Microcottus sellaris	
Microdesmus bahianus	
Microdevario kubotai	
Microdevario nana	
Microdous chalmersi	
Microgadus proximus	
Microgale grandidieri	
Microglanis garavelloi	
Microglanis leptostriatus	
Microhyla butleri	
Microhyla fodiens	
Microhyla fowleri	
Microhyla gadjahmadai	
Microhyla irrawaddy	
Microhyla malang	
Microhyla mantheyi	
Microhyla mixtura	
Microhyla mukhlesuri	
Microhyla palmipes	
Microhyla petrigena	
Microhyla pulchra	
Microhyla rubra	
Microhyla superciliaris	
Microhyla taraiensis	
Microkayla ankohuma	
Microkayla boettgeri	
Microkayla chilina	
Microkayla condoriri	
Microkayla illampu	
Microkayla kallawaya	
Microkayla katantika	
Microkayla saltator	
Microkayla teqta	
Microlophichthys microlophus	
Microlophus atacamensis	
Microlophus occipitalis	
Microlophus pacificus	
Microlophus theresioides	
Microlophus yanezi	
Micromys erythrotis	
Micronemacheilus cruciatus	
Micronycteris brachyotis	
Micronycteris hirsuta	
Micronycteris homezi	
Micronycteris microtis	
Micronycteris minuta	
Micronycteris schmidtorum	
Micropercops swinhonis	
Microperoryctes aplini	
Microphysogobio alticorpus	
Microphysogobio brevirostris	
Microphysogobio chenhsienensis	
Microphysogobio elongatus	
Microphysogobio fukiensis	
Microphysogobio jeoni	
Microphysogobio kiatingensis	
Microphysogobio koreensis	
Microphysogobio liaohensis	
Microphysogobio longidorsalis	
Microphysogobio rapidus	
Microphysogobio tafangensis	
Microphysogobio yaluensis	
Micropsitta finschii	
Microrasbora erythromicron	
Microrasbora rubescens	
Microsciurus mimulus	
Microsciurus otinus	
Microsciurus similis	
Microstomatichthyoborus bashforddeani	
Microtus duodecimcostatus	
Microtus lusitanicus	
Microtus multiplex	
Microtus savii	
Micryletta steinegeri	
Mikrogeophagus altispinosus	
Mikrogeophagus ramirezi	
Milvus lineatus	
Mimagoniates barberi	
Mimizuku gurneyi	
Minervarya agricola	
Minervarya caperata	
Minervarya krishnan	
Minervarya kudremukhensis	
Minervarya mudduraja	
Minervarya syhadrensis	
Minous pusillus	
Minous trachycephalus	
Mirza zaza	
Misgurnus bipartitus	
Misgurnus nikolskyi	
Mitu tuberosum	
Mixophyes carbinensis	
Mobula formosana	
Moenkhausia cosmops	
Moenkhausia costae	
Moenkhausia pittieri	
Mogera imaizumii	
Mogera kanoana	
Moho braccatus	
Mohoua albicilla	
Mohoua novaeseelandiae	
Mohoua ochrocephala	
Molossus rufus	
Molothrus ater	
Molothrus bonariensis	
Momotus mexicanus	
Monacoa griseus	
Monacoa niger	
Monocentris japonicus	
Monodelphis touan	
Monognathus jesperseni	
Monomitopus pallidus	
Monophyllus redmani	
Monotrete cambodgiensis	
Monotrete cochinchinensis	
Monotrete leiurus	
Moolgarda pedaraki	
Mordacia lapicida	
Morenia ocellata	
Morethia adelaidensis	
Morethia butleri	
Mormyrus rume	
Morphnarchus princeps	
Morus serrator	
Moschiola indica	
Moschus leucogaster	
Motacilla cinerea	
Motacilla flava	
Motacilla lugens	
Mugil platanus	
Mugil rubrioculus	
Mugilogobius fontinalis	
Mugilogobius myxodermus	
Mullerornis agilis	
Mungotictis decemlineata	
Muntiacus vaginalis	
Muraena augusti	
Muraenichthys schultzei	
Murina bicolor	
Murina gracilis	
Murina peninsularis	
Murina shuipuensis	
Murina tiensa	
Muscicapa griseisticta	
Musonycteris harrisoni	
Mustela itatsi	
Mustelus griseus	
Myaka myaka	
Mycerobas carnipes	
Myctophum lychnobium	
Myersglanis blythii	
Myersina filifer	
Myersiohyla inparquesi	
Myersiohyla liliae	
Myiagra hebetior	
Mylochromis lateristriga	
Mylodon darwinii	
Myloplus asterias	
Myoictis leucura	
Myoictis wallacei	
Myoictis wavicus	
Myomyrus macrops	
Myonycteris leptodon	
Myophonus caeruleus	
Myoprocta acouchy	
Myoprocta pratti	
Myopsaron nelsoni	
Myospalax psilurus	
Myotis albescens	
Myotis altarium	
Myotis bombinus	
Myotis dasycneme	
Myotis davidii	
Myotis dominicensis	
Myotis frater	
Myotis horsfieldii	
Myotis ikonnikovi	
Myotis levis	
Myotis macrodactylus	
Myotis montivagus	
Myotis muricola	
Myotis myotis	
Myotis nigricans	
Myotis occultus	
Myotis oxyotus	
Myotis petax	
Myotis phanluongi	
Myotis ruber	
Myotis thysanodes	
Myotis volans	
Myotis welwitschii	
Myotis yumanensis	
Myotomys unisulcatus	
Myoxocephalus brandtii	
Myoxocephalus polyacanthocephalus	
Myoxocephalus quadricornis	
Myripristis greenfieldi	
Myripristis kochiensis	
Mystacoleucus atridorsalis	
Mystacoleucus ectypus	
Mystacoleucus marginatus	
Mystacornis crossleyi	
Mystus atrifasciatus	
Mystus mysticetus	
Mystus pulcher	
Mystus rhegma	
Mystus singaringan	
Myxine garmani	
Myxine paucidens	
Myxodagnus opercularis	
Myzomela erythrocephala	
Myzomela obscura	
Myzomela rosenbergii	
Myzomela sanguinolenta	
Myzopoda aurita	
Myzornis pyrrhoura	
Naemorhedus cranbrooki	
Naemorhedus evansi	
Naemorhedus goral	
Namazonurus lawrenci	
Namazonurus namaquensis	
Namazonurus peersi	
Nandus nandus	
Nangura spinosa	
Nannaethiops bleheri	
Nannaethiops unitaeniatus	
Nannatherina balstoni	
Nannobrachium fernae	
Nannobrachium lineatum	
Nannocharax parvus	
Nannocharax schoutedeni	
Nannocharax taenia	
Nannoperca obscura	
Nannoperca oxleyana	
Nannoperca variegata	
Nannoperca vittata	
Nannopsittaca dachilleae	
Nannoscincus mariei	
Nannospalax ceyhanus	
Nanorana blanfordii	
Nanorana parkeri	
Nanorana unculuanus	
Nanorana zhaoermii	
Nansenia ardesiaca	
Nansenia boreacrassicauda	
Nansenia sanrikuensis	
Narcetes erimelas	
Narcetes shonanmaruae	
Narcine brasiliensis	
Naso maculatus	
Naso tergus	
Naucrates ductor	
Neacomys paracou	
Nectarinia senegalensis	
Nectomys rattus	
Nectophryne afra	
Nectophrynoides tornieri	
Neenchelys buitendijki	
Neenchelys mccoskeri	
Neenchelys parvipectoralis	
Neenchelys similis	
Nemacheilus fasciatus	
Nemacheilus lactogeneus	
Nemacheilus platiceps	
Nemacheilus selangoricus	
Nemachilichthys rueppelli	
Nemadoras hemipeltis	
Nemapteryx caelata	
Nemapteryx nenga	
Nematalosa flyensis	
Nematalosa japonica	
Nematalosa papuensis	
Nemipterus aurora	
Nemipterus marginatus	
Nemipterus nematopus	
Nemipterus tambuloides	
Neoachiropsetta milfordi	
Neobatrachus pictus	
Neobythites bimaculatus	
Neobythites sivicola	
Neobythites stigmosus	
Neobythites unimaculatus	
Neocentropogon japonicus	
Neoceratias spinifer	
Neoclinus bryope	
Neoclinus nudus	
Neoclinus okazakii	
Neocyema erythrosoma	
Neoditrema ransonnetii	
Neodontobutis hainanensis	
Neoepinnula minetomai	
Neogobius nigricans	
Neoharriotta pinnata	
Neohomaloptera johorensis	
Neolaeops microphthalmus	
Neolamprologus brichardi	
Neolebias ansorgii	
Neolebias trilineatus	
Neolebias unifasciatus	
Neolissochilus benasi	
Neolissochilus heterostomus	
Neolissochilus soroides	
Neolissochilus stracheyi	
Neomerinthe erostris	
Neomerinthe rotunda	
Neomorphus geoffroyi	
Neoniphon opercularis	
Neoodax balteatus	
Neopagetopsis ionah	
Neophema elegans	
Neophocaena asiaeorientalis	
Neopipo cinnamomea	
Neoplecostomus bandeirante	
Neoplecostomus botucatu	
Neoplecostomus corumba	
Neoplecostomus espiritosantensis	
Neoplecostomus franciscoensis	
Neoplecostomus langeanii	
Neoplecostomus microps	
Neoplecostomus paranensis	
Neoplecostomus ribeirensis	
Neoplecostomus selenae	
Neoplecostomus yapo	
Neoromicia malagasyensis	
Neoromicia robertsi	
Neosalanx anderssoni	
Neosalanx taihuensis	
Neosalanx tangkahkeii	
Neoscombrops pacificus	
Neoscopelus macrolepidotus	
Neoscopelus microchir	
Neosynchiropus morrisoni	
Neozoarces steindachneri	
Nesiotites hidalgo	
Nesospiza acunhae	
Nessorhamphus danae	
Neurotrichus gibbsii	
Neusticomys oyapocki	
Nezumia condylura	
Nibea coibor	
Nicator chloris	
Niceforonia brunnea	
Niceforonia dolops	
Nilssonia formosa	
Nilssonia nigricans	
Niltava davidi	
Nimbapanchax leucopterygius	
Nimbapanchax petersi	
Ninox scutulata	
Ninurta coeruleopunctatus	
Niphon spinosus	
Niviventer fengi	
Niviventer lotipes	
Niviventer mekongis	
Notacanthus abbotti	
Notaden melanoscaphus	
Nothobranchius foerschi	
Nothobranchius nubaensis	
Nothobranchius ocellatus	
Nothobranchius vosseleri	
Nothocercus julius	
Nothocercus nigrocapillus	
Nothocrax urumutum	
Nothoprocta ornata	
Nothoprocta pentlandii	
Nothoprocta perdicaria	
Notiomystis cincta	
Notochelys platynota	
Notoclinus compressus	
Notolabrus gymnogenis	
Notolychnus valdiviae	
Notomabuya frenata	
Notoryctes caurinus	
Notoscopelus elongatus	
Nototriton abscondens	
Notropis imeldae	
Notropis nazas	
Novaculichthys taeniourus	
Novaculoides macrolepidotus	
Novumbra hubbsi	
Nuchequula gerreoides	
Nuchequula longicornis	
Nuchequula nuchalis	
Nucifraga caryocatactes	
Nucras tessellata	
Numenius phaeopus	
Nyctalus aviator	
Nyctalus plancyi	
Nycteris grandis	
Nyctibius grandis	
Nyctibius griseus	
Nyctibius maculosus	
Nycticeinops schlieffeni	
Nycticryphes semicollaris	
Nyctimantis arapapa	
Nyctimantis bokermanni	
Nyctimantis galeata	
Nyctimantis pomba	
Nyctimene cephalotes	
Nyctimene vizcaccia	
Nyctimystes dux	
Nyctiprogne leucopyga	
Nyctyornis amictus	
Nymphargus cariticommatus	
Nymphargus cochranae	
Nymphargus posadae	
Nymphargus rosada	
Nymphargus spilotus	
Nymphargus sucre	
Nymphargus wileyi	
Obliquogobius yamadai	
Occella dodecaedron	
Occella iburia	
Occidozyga lima	
Occidozyga sumatrana	
Oceanodroma castro	
Ochetobius elongatus	
Ochotona collaris	
Ochotona coreana	
Ochotona gloveri	
Ochotona muliensis	
Ochotona sikimaria	
Ocosia fasciata	
Octodon bridgesii	
Octodon pacificus	
Octodontomys gliroides	
Ocynectes maschalis	
Ocynectes modestus	
Odontamblyopus lacepedii	
Odontamblyopus rebecca	
Odontamblyopus rubicundus	
Odontanthias chrysostictus	
Odontanthias katayamai	
Odontanthias rhodopeplus	
Odontanthias tapui	
Odontanthias unimaculatus	
Odontesthes argentinensis	
Odontesthes hatcheri	
Odontesthes incisa	
Odontesthes smitti	
Odontobutis haifengensis	
Odontobutis hikimius	
Odontobutis interrupta	
Odontobutis obscura	
Odontobutis platycephala	
Odontobutis potamophila	
Odontobutis sinensis	
Odontobutis yaluensis	
Odontophrynus achalensis	
Odontophrynus americanus	
Odontophrynus occidentalis	
Odorrana amamiensis	
Odorrana chloronota	
Odorrana huanggangensis	
Odorrana leporipes	
Odorrana lipuensis	
Odorrana nanjiangensis	
Odorrana tianmuii	
Odorrana utsunomiyaorum	
Odorrana yizhangensis	
Oedistoma pygmaeum	
Oligoryzomys stramineus	
Oligosarcus argenteus	
Oligosoma acrinasum	
Oligosoma alani	
Oligosoma chloronoton	
Oligosoma fallai	
Oligosoma grande	
Oligosoma inconspicuum	
Oligosoma infrapunctatum	
Oligosoma lichenigera	
Oligosoma lineoocellatum	
Oligosoma longipes	
Oligosoma maccanni	
Oligosoma macgregori	
Oligosoma microlepis	
Oligosoma moco	
Oligosoma notosaurus	
Oligosoma oliveri	
Oligosoma otagense	
Oligosoma smithi	
Oligosoma stenotis	
Oligosoma suteri	
Oligosoma taumakae	
Oligosoma townsi	
Oligosoma waimatense	
Oligosoma whitakeri	
Oligosoma zelandicum	
Ommatophoca rossii	
Omobranchus elongatus	
Omobranchus fasciolatoceps	
Omobranchus loxozonus	
Omobranchus smithi	
Omobranchus zebra	
Ompok siluroides	
Onchocerca volvulus	
Oneirodes bradburyae	
Oneirodes eschrichtii	
Oneirodes luetkeni	
Oneirodes macrosteus	
Oneirodes thompsoni	
Onuxodon fowleri	
Onychodactylus zhangyapingi	
Onychodactylus zhaoermii	
Onychorhynchus coronatus	
Onychostoma alticorpus	
Onychostoma barbatulum	
Onychostoma fangi	
Onychostoma gerlachi	
Onychostoma lepturum	
Onychostoma macrolepis	
Onychostoma meridionale	
Onychostoma rara	
Onychostoma simum	
Oophaga sylvatica	
Oophaga vicentei	
Ophichthus asakusae	
Ophichthus brevicaudatus	
Ophichthus cephalozona	
Ophichthus evermanni	
Ophichthus machidai	
Ophichthus rotundus	
Ophichthus serpentinus	
Ophichthus singapurensis	
Ophichthus zophistius	
Ophidion asiro	
Ophiodon elongatus	
Ophiomorus latastii	
Ophiomorus punctatissimus	
Ophisurus macrorhynchos	
Ophryophryne hansi	
Opisthocentrus ocellatus	
Opisthocentrus tenuis	
Opisthocentrus zonope	
Opisthocomus hoazin	
Opisthopterus valenciennesi	
Opistognathus castelnaui	
Opistognathus evermanni	
Opistognathus iyonis	
Opistognathus variabilis	
Oplurus cyclurus	
Opostomias mitsuii	
Oppiella nova	
Opsaridium peringueyi	
Opsaridium ubangiense	
Opsaridium zambezense	
Opsariichthys acutipinnis	
Opsariichthys bidens	
Opsariichthys dienbienensis	
Opsariichthys kaopingensis	
Opsarius dogarsinghi	
Opsarius koratensis	
Opsarius ornatus	
Opsarius pulchellus	
Oregonichthys kalawatseti	
Oreichthys cosuatis	
Oreichthys crenuchoides	
Oreinus dulongensis	
Oreinus meridionalis	
Oreinus myzostomus	
Oreinus rotundimaxillaris	
Oreobates amarakaeri	
Oreobates ayacucho	
Oreobates barituensis	
Oreobates choristolemma	
Oreobates gemcare	
Oreobates granulosus	
Oreobates lehri	
Oreobates lundbergi	
Oreobates machiguenga	
Oreobates madidi	
Oreobates sanctaecrucis	
Oreochromis aureus	
Oreochromis malagarasi	
Oreochromis tanganicae	
Oreoglanis immaculatus	
Oreoglanis jingdongensis	
Oreoglanis macropterus	
Oreolalax lichuanensis	
Oreonectes daqikongensis	
Oreonectes furcocaudalis	
Oreonectes jiarongensis	
Oreonectes longibarbatus	
Oreonectes platycephalus	
Oreophasis derbianus	
Oreoscopus gutturalis	
Oreotrochilus melanogaster	
Orestias ascotanensis	
Origma solitaria	
Orinocodoras eigenmanni	
Ortalis canicollis	
Orthonopias triacis	
Ortygospiza atricollis	
Oryx beisa	
Oryzias curvinotus	
Oryzias dancena	
Oryzias luzonensis	
Oryzias sarasinorum	
Oryzias uwai	
Oryzias woworae	
Osopsaron formosensis	
Osopsaron verecundum	
Osornophryne angel	
Osornophryne cofanorum	
Osornophryne occidentalis	
Osornophryne simpsoni	
Osornophryne sumacoensis	
Ossancora punctata	
Osteobrama belangeri	
Osteobrama cunma	
Osteobrama feae	
Osteocephalus cabrerai	
Osteocephalus cannatellai	
Osteocephalus castaneicola	
Osteocephalus deridens	
Osteocephalus festae	
Osteocephalus fuscifacies	
Osteocephalus heyeri	
Osteocephalus leoniae	
Osteocephalus mutabor	
Osteocephalus planiceps	
Osteocephalus vilmae	
Osteocephalus yasuni	
Osteochilus melanopleurus	
Osteochilus microcephalus	
Osteochilus pentalineatus	
Osteochilus salsburyi	
Osteochilus waandersii	
Ostichthys sheni	
Ostorhinchus cheni	
Ostorhinchus fukuii	
Ostorhinchus ishigakiensis	
Ostorhinchus moluccensis	
Ostracoberyx dorygenys	
Otidiphaps nobilis	
Otolithes ruber	
Otomys denti	
Otomys laminatus	
Otomys maximus	
Otomys tropicalis	
Otomys typus	
Otophryne pyburni	
Otus mirus	
Otus scops	
Ouroborus cataphractus	
Owstonia grammodon	
Owstonia totomiensis	
Oxuderces dentatus	
Oxyeleotris urophthalmoides	
Oxygaster anomalura	
Oxygymnocypris stewartii	
Oxylebius pictus	
Oxymetopon compressus	
Oxyura leucocephala	
Oxyura maccoa	
Oxyurichthys cornutus	
Oxyurichthys saru	
Pachylemur jullyi	
Pachyplichas yaldwyni	
Pachyramphus minor	
Pachystomias microdon	
Pachytriton feii	
Pachytriton granulosus	
Padogobius martensii	
Paedocypris carbunculus	
Paedocypris micromegethes	
Paedocypris progenetica	
Pagellus bellottii	
Pagetopsis macropterus	
Pagrus auriga	
Pallidochromis tokolosh	
Palmeria dolei	
Pamelaescincus gardineri	
Pampus cinereus	
Pampus echinogaster	
Pampus minor	
Pampus punctatissimus	
Panaqolus koko	
Pandaka trimaculata	
Pandion haliaetus	
Pangasius bocourti	
Pangasius macronema	
Pangio agma	
Pangio anguillaris	
Pangio cuneovirgata	
Pangio malayana	
Pangio myersi	
Pangio semicincta	
Pangshura tentoria	
Panopa carvalhoi	
Panophrys liboensis	
Panophrys tongboensis	
Pantherina griselda	
Panurus biarmicus	
Pao abei	
Pao fangi	
Pao suvattii	
Papyrocranus congoensis	
